2026-05-18 10:54:53,489 [DEBUG] Logger initialized
2026-05-18 10:54:53,489 [INFO] Starting model run
2026-05-18 10:54:53,489 [INFO] Config: C:\Users\GEVENSON\Data\bmp\basin-bmp-sim\examples\east_fork.yaml
2026-05-18 10:54:53,489 [INFO] Logging to: outputs\log_20260518_105453.txt
2026-05-18 10:54:54,005 [DEBUG] Sampled value 0.27817 from stats={'min': np.float64(0.05), 'max': np.float64(0.5), 'mean': np.float64(0.2), 'p50': np.float64(0.2)} kind=efficiency low=0.0 high=1.0
2026-05-18 10:54:54,006 [DEBUG] Sampled value 0.158544 from stats={'min': np.float64(0.05), 'max': np.float64(0.5), 'mean': np.float64(0.2), 'p50': np.float64(0.2)} kind=efficiency low=0.0 high=1.0
2026-05-18 10:54:54,008 [DEBUG] Sampled value 14.3825 from stats={'min': np.int64(10), 'max': np.int64(60), 'mean': np.int64(35), 'p50': np.int64(35)} kind=None low=None high=None
2026-05-18 10:54:54,028 [DEBUG] Sampled value 0.445148 from stats={'min': np.float64(0.05), 'max': np.float64(0.5), 'mean': np.float64(0.2), 'p50': np.float64(0.2)} kind=efficiency low=0.0 high=1.0
2026-05-18 10:54:54,029 [DEBUG] Sampled value 0.319824 from stats={'min': np.float64(0.05), 'max': np.float64(0.5), 'mean': np.float64(0.2), 'p50': np.float64(0.2)} kind=efficiency low=0.0 high=1.0
2026-05-18 10:54:54,030 [DEBUG] Sampled value 0.459522 from stats={'min': np.float64(0.3), 'max': np.float64(0.8), 'mean': np.float64(0.6), 'p50': np.float64(0.6)} kind=efficiency low=0.0 high=1.0
2026-05-18 10:54:54,032 [DEBUG] Sampled value 13987.2 from stats={'min': np.int64(5000), 'max': np.int64(30000), 'mean': np.int64(15000), 'p50': np.int64(15000)} kind=None low=None high=None
2026-05-18 10:54:54,059 [INFO] Scenario 3/3
2026-05-18 10:54:54,063 [DEBUG] Sampled value 10.4448 from stats={'min': np.float64(5.0), 'max': np.float64(30.0), 'mean': '15.0', 'p50': '15.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:54,065 [DEBUG] Sampled value 0.789173 from stats={'min': np.float64(0.5), 'max': np.float64(5.0), 'mean': '2.0', 'p50': '2.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:54,068 [DEBUG] Sampled value 351.301 from stats={'min': np.float64(50.0), 'max': np.float64(400.0), 'mean': '150.0', 'p50': '150.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:54,070 [DEBUG] Sampled value 14.1155 from stats={'min': np.float64(5.0), 'max': np.float64(30.0), 'mean': '15.0', 'p50': '15.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:54,072 [DEBUG] Sampled value 1.10709 from stats={'min': np.float64(0.5), 'max': np.float64(5.0), 'mean': '2.0', 'p50': '2.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:54,074 [DEBUG] Sampled value 111.191 from stats={'min': np.float64(50.0), 'max': np.float64(400.0), 'mean': '150.0', 'p50': '150.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:54,077 [DEBUG] Sampled value 17.3766 from stats={'min': np.float64(5.0), 'max': np.float64(30.0), 'mean': '15.0', 'p50': '15.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:54,079 [DEBUG] Sampled value 1.03032 from stats={'min': np.float64(0.5), 'max': np.float64(5.0), 'mean': '2.0', 'p50': '2.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:54,081 [DEBUG] Sampled value 328.307 from stats={'min': np.float64(50.0), 'max': np.float64(400.0), 'mean': '150.0', 'p50': '150.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:54,082 [DEBUG] Sampled value 22.7556 from stats={'min': np.float64(5.0), 'max': np.float64(30.0), 'mean': '15.0', 'p50': '15.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:54,084 [DEBUG] Sampled value 3.31678 from stats={'min': np.float64(0.5), 'max': np.float64(5.0), 'mean': '2.0', 'p50': '2.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:54,085 [DEBUG] Sampled value 136.419 from stats={'min': np.float64(50.0), 'max': np.float64(400.0), 'mean': '15０.０', 'p50': '15０.０'} kind=yield low=0.0 high=None
2026-05-18 10:54:54,086 [DEBUG] Sampled value 18.8193 from stats={'min': np.float64(5.0), 'max': np.float64(30.0), 'mean': '15.0', 'p50': '15.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:54,088 [DEBUG] Sampled value 2.50459 from stats={'min': np.float64(0.5), 'max': np.float64(5.0), 'mean': '2.0', 'p50': '2.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:54,089 [DEBUG] Sampled value 224.923 from stats={'min': np.float64(50.0), 'max': np.float64(400.0), 'mean': '150.0', 'p50': '150.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:54,090 [DEBUG] Sampled value 6.68889 from stats={'min': np.float64(5.0), 'max': np.float64(30.0), 'mean': '15.0', 'p50': '15.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:54,091 [DEBUG] Sampled value 1.74742 from stats={'min': np.float64(0.5), 'max': np.float64(5.0), 'mean': '2.0', 'p50': '2.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:54,092 [DEBUG] Sampled value 58.3228 from stats={'min': np.float64(50.0), 'max': np.float64(400.0), 'mean': '150.0', 'p50': '150.0'} kind=yield low=0.0 high=None
2026-05-18 10:54:54,094 [DEBUG] Sampled value 0.0933573 from stats={'min': np.float64(0.05), 'max': np.float64(0.5), 'mean': np.float64(0.2), 'p50': np.float64(0.2)} kind=efficiency low=0.0 high=1.0
2026-05-18 10:54:54,095 [DEBUG] Sampled value 0.0810209 from stats={'min': np.float64(0.05), 'max': np.float64(0.5), 'mean': np.float64(0.2), 'p50': np.float64(0.2)} kind=efficiency low=0.0 high=1.0
2026-05-18 10:54:54,095 [DEBUG] Sampled value 0.252587 from stats={'min': np.float64(0.05), 'max': np.float64(0.5), 'mean': np.float64(0.2), 'p50': np.float64(0.2)} kind=efficiency low=0.0 high=1.0
2026-05-18 10:54:54,097 [DEBUG] Sampled value 18.5296 from stats={'min': np.int64(10), 'max': np.int64(60), 'mean': np.int64(35), 'p50': np.int64(35)} kind=None low=None high=None
2026-05-18 10:54:54,122 [DEBUG] Sampled value 0.154061 from stats={'min': np.float64(0.05), 'max': np.float64(0.5), 'mean': np.float64(0.2), 'p50': np.float64(0.2)} kind=efficiency low=0.0 high=1.0
